,ExpiryDate,StrikePrice,Stock,StockPrice,PCR
6,2020-11-20,3223.0211563641374,AMZN,3167.4599609375,1.8888888888888888
7,2021-01-15,2162.4754473537205,AMZN,3167.4599609375,1.8888888888888888
8,2021-02-19,2853.041769041769,AMZN,3167.4599609375,1.8888888888888888
0,2020-08-28,134.38725171361384,WMT,129.97000122070312,1.9038461538461537
1,2020-09-04,130.9722494286647,WMT,129.97000122070312,1.9038461538461537
2,2020-09-11,130.6366214938544,WMT,129.97000122070312,1.9038461538461537
3,2020-09-25,131.19354838709677,WMT,129.97000122070312,1.9038461538461537
4,2020-10-16,142.53329864724245,WMT,129.97000122070312,1.9038461538461537
5,2020-12-18,136.55122849571038,WMT,129.97000122070312,1.9038461538461537
6,2021-01-15,126.52755405434173,WMT,129.97000122070312,1.9038461538461537
7,2021-03-19,134.17737789203085,WMT,129.97000122070312,1.9038461538461537
0,2020-08-14,317.875,COST,340.9100036621094,1.8783068783068784
1,2020-08-21,320.0625,COST,340.9100036621094,1.8783068783068784
2,2020-08-28,312.1520417705736,COST,340.9100036621094,1.8783068783068784
3,2020-09-04,298.63254806390466,COST,340.9100036621094,1.8783068783068784
4,2020-09-11,321.7543436293436,COST,340.9100036621094,1.8783068783068784
5,2020-09-18,317.49716124148375,COST,340.9100036621094,1.8783068783068784
6,2020-09-25,348.7313432835821,COST,340.9100036621094,1.8783068783068784
7,2020-10-16,311.54746824608856,COST,340.9100036621094,1.8783068783068784
8,2021-01-15,279.20105902507396,COST,340.9100036621094,1.8783068783068784
9,2021-04-16,362.2421948912015,COST,340.9100036621094,1.8783068783068784
0,2020-08-14,101.24617172798052,XLK,113.73999786376953,2.0
1,2020-08-21,100.8,XLK,113.73999786376953,2.0
2,2020-08-28,105.54252683732453,XLK,113.73999786376953,2.0
3,2020-09-04,110.36654185611125,XLK,113.73999786376953,2.0
4,2020-09-11,112.1878640776699,XLK,113.73999786376953,2.0
5,2020-09-18,96.87710376749531,XLK,113.73999786376953,2.0
6,2020-09-25,113.11666666666666,XLK,113.73999786376953,2.0
7,2020-12-18,100.31711954001669,XLK,113.73999786376953,2.0
8,2021-01-15,94.1952022201719,XLK,113.73999786376953,2.0
9,2021-03-19,129.35830247792651,XLK,113.73999786376953,2.0
0,2020-08-14,119.6392326978947,TQQQ,126.98999786376953,1.985
1,2020-08-21,100.325,TQQQ,126.98999786376953,1.985
2,2020-08-28,118.85,TQQQ,126.98999786376953,1.985
3,2020-09-04,113.52338214454417,TQQQ,126.98999786376953,1.985
4,2020-09-11,118.8439330543933,TQQQ,126.98999786376953,1.985
5,2020-09-18,53.197192259743076,TQQQ,126.98999786376953,1.985
6,2020-09-25,122.3108108108108,TQQQ,126.98999786376953,1.985
7,2020-12-18,87.825,TQQQ,126.98999786376953,1.985
8,2021-01-15,78.5,TQQQ,126.98999786376953,1.985
9,2021-03-19,115.1,TQQQ,126.98999786376953,1.985
0,2020-08-14,23.650377394242764,XLF,24.84000015258789,2.0
1,2020-08-21,22.54681559257822,XLF,24.84000015258789,2.0
2,2020-08-28,21.969201989323356,XLF,24.84000015258789,2.0
3,2020-09-04,24.645142456795888,XLF,24.84000015258789,2.0
4,2020-09-11,23.593203883495146,XLF,24.84000015258789,2.0
5,2020-09-18,24.113146994888666,XLF,24.84000015258789,2.0
6,2020-09-25,24.9375,XLF,24.84000015258789,2.0
7,2020-10-16,23.614235010734998,XLF,24.84000015258789,2.0
8,2020-11-20,22.027445652173913,XLF,24.84000015258789,2.0
9,2020-12-18,24.346235413815286,XLF,24.84000015258789,2.0
10,2021-01-15,25.992999543167016,XLF,24.84000015258789,2.0
11,2021-03-19,24.89362733220257,XLF,24.84000015258789,2.0
0,2020-08-14,23.650377394242764,DIV,16.049999237060547,inf
1,2020-08-21,22.54681559257822,DIV,16.049999237060547,inf
2,2020-08-28,21.969201989323356,DIV,16.049999237060547,inf
3,2020-09-04,24.645142456795888,DIV,16.049999237060547,inf
4,2020-09-11,23.593203883495146,DIV,16.049999237060547,inf
5,2020-09-18,24.113146994888666,DIV,16.049999237060547,inf
6,2020-09-25,24.9375,DIV,16.049999237060547,inf
7,2020-10-16,23.614235010734998,DIV,16.049999237060547,inf
8,2020-11-20,22.027445652173913,DIV,16.049999237060547,inf
9,2020-12-18,24.346235413815286,DIV,16.049999237060547,inf
10,2021-01-15,25.992999543167016,DIV,16.049999237060547,inf
11,2021-03-19,24.89362733220257,DIV,16.049999237060547,inf
0,2020-08-21,283.7968299711816,VOO,307.3599853515625,2.0273972602739727
1,2020-09-18,289.7518796992481,VOO,307.3599853515625,2.0273972602739727
2,2020-10-16,268.8971374272479,VOO,307.3599853515625,2.0273972602739727
3,2021-01-15,308.61759425493716,VOO,307.3599853515625,2.0273972602739727
0,2020-08-21,128.60945033751204,NDAQ,132.8699951171875,1.5789473684210527
1,2020-09-18,111.59205548549811,NDAQ,132.8699951171875,1.5789473684210527
2,2020-12-18,134.91071428571428,NDAQ,132.8699951171875,1.5789473684210527
0,2020-08-14,41.958585858585856,DOW,42.630001068115234,1.9415584415584415
1,2020-08-21,43.98472388784193,DOW,42.630001068115234,1.9415584415584415
2,2020-08-28,43.9882486732373,DOW,42.630001068115234,1.9415584415584415
3,2020-09-04,42.50730180806676,DOW,42.630001068115234,1.9415584415584415
4,2020-09-18,39.752757657529706,DOW,42.630001068115234,1.9415584415584415
5,2020-09-25,46.214285714285715,DOW,42.630001068115234,1.9415584415584415
6,2020-12-18,43.28219573517087,DOW,42.630001068115234,1.9415584415584415
7,2021-01-15,37.44677764596658,DOW,42.630001068115234,1.9415584415584415
8,2021-03-19,46.32162661737523,DOW,42.630001068115234,1.9415584415584415
